Nome,Data Fundação,Média Funcionários,Endereço,Área Atuação
"LIMER-STAMP ESTAMPARIA, FERRAMENTARIA E USINAGEM LTDA",-,-,"Rua Jose Fontanin, 310 - LIMEIRA, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
SAKURA TECH BRASIL FERRAMENTARIA E MOLD. PLASTICA LTDA.,-,-,"Rua Mariana Rezende Migrone, 618 - ITU, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
KRISMA FERRAMENTARIA LTDA,-,-,"Rua Clodoaldo Gomes, 534 - JOINVILLE, SC",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
ESFER,-,-,"Avenida Carlos Botelho, 85 - NOVA ODESSA, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
MTSZ FERRAMENTARIA E INJECAO PARA TERMOPLASTICOS,-,-,"Avenida Portugal, 71 - ITAPEVI, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
MOLD BRASIL FERRAMENTARIA LTDA,-,-,"Rodovia Presidente Dutra Km 214 - GUARULHOS, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
FERRAMENTARIA GASPEC,-,-,"Avenida Novo Horizonte, 255 - SANTO ANDRE, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
IMS ENGENHARIA & FERRAMENTARIA LTDA,-,-,"Rua Coronel Ferreira de Araujo, 231 - MANAUS, AM",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
ESTAMPARIA ITUPEVA,-,-,"Rua Americo Simoes, 400 - ITUPEVA, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
MOLDTOOL FERRAMENTARIA LTDA,-,-,"Avenida Placido Hugo de Oliveira, 1580 - JOINVILLE, SC",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
BC FERRAMENTARIA,-,-,"Trecho Sia Trecho 3 - BRASILIA, DF",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
CIANI & DAMO PROJETOS E FERRAMENTARIA LTDA,-,-,"Rua Batista Raffi, 212 - SUMARE, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
USICOMP - FERRAMENTARIA E INDUSTRIA DE PECAS LTDA,-,-,"Rua Vereador Sergio Leopoldino Alves, 362 - SANTA BARBARA D'OESTE, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
BRASFER EQUIPAMENTOS INDUSTRIAIS,-,-,"Rua Raimundo Welter, 122 - JOINVILLE, SC",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
FERRAMENTARIA JN LTDA,-,-,"Rua Jacutinga, 206 - JOINVILLE, SC",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
PASSARELLA USINAGEM E FERRAMENTARIA LTDA,-,-,"Rua Krebsfer, 781 - VALINHOS, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
ASPRO PLASTIC INDUSTRIA E COMERCIO DE ARTIGOS PLASTICOS E FERRAMENTARIA LTDA,-,-,"Rua Gaspar Rodrigues, 435 - SAO PAULO, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
NORTE FERRAMENTARIA,-,-,"Rua Senador Petronio Portela, 47 - JOINVILLE, SC",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
THMV INJECAO PLASTICA E FERRAMENTARIA LTDA,-,-,"Rua Luiz Anbial, 300 F - CRAVINHOS, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
FERRAMENTARIA FERRAVE LTDA,-,-,"Avenida Brasil, 4800 - RIO CLARO, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
MOLDES BRASIL,-,-,"Rua Santos Dumont, 3018 - HERVAL D'OESTE, SC",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
PLANIFER-FERRAMENTARIA E ESTAMPARIA LTDA,-,-,"Rodovia Dom Pedro I, 71 - CAMPINAS, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
FERRAMENTARIA INJECAO GASPARETTE LTDA,-,-,"Avenida Vereador Raymundo Hargreaves, 1a - JUIZ DE FORA, MG",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
MRB MACHINING,-,-,"Rua Joao Ferreira Sobrinho, 95 - CURITIBA, PR",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
METALMASSA FERRAMENTARIA E INJECAO LTDA,-,-,"Rodovia Sc 108, 10730 - MASSARANDUBA, SC",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
ADF MAQUINAS E EQUIPAMENTOS,-,-,"Rua Waldemiro Jose Borges, 220 - JOINVILLE, SC",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
SINTERCAN FERRAMENTARIA LTDA.,-,-,"Alameda Jupiter, 989 e - INDAIATUBA, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
LUCK FERRAMENTARIA,-,-,"Rua Andre Adolfo Ferrari, 386 - INDAIATUBA, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
3R FERRAMENTARIA E USINAGEM,-,-,"Rodovia a 280 A, 9259 - ARAQUARI, SC",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
DIGIMOLD - FERRAMENTARIA DE PRECISAO LTDA,-,-,"Avenida Nossa Senhora da Penha, 530 - BRAGANCA PAULISTA, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
USIFESP - USINAGEM E FERRAMENTARIA SAO PAULO S.A,-,-,"Via de Acesso Joao de Goes, 479 - JANDIRA, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
ALFATECH - FERRAMENTARIA DE PRECISAO LTDA,-,-,"Avenida Jose Gomes da Rocha Leal, 1178 - BRAGANCA PAULISTA, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
RK FERRAMENTARIA LTDA,-,-,"Rua Valenza, 154 - COLOMBO, PR",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
GREEN MOLDE,-,-,"Rua Doutor Andre Costa, 392 - SAO PAULO, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
FERRAMENTARIA FERMOLD LTDA,-,-,"Rua Tupy, 560 - JOINVILLE, SC",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
DJ MODELACAO E FERAMENTARIA S/C LTDA,-,-,"Rua Doutor Oswaldo Mellone, 129 - SAO BERNARDO DO CAMPO, SP",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
MIDIA FERRAMENTARIA LTDA,-,-,"Rua Xavantes, 155 - JOINVILLE, SC",Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
