Nome,Telefones
"LIMER-STAMP ESTAMPARIA, FERRAMENTARIA E USINAGEM LTDA",(19) 3451-0714
SAKURA TECH BRASIL FERRAMENTARIA E MOLD. PLASTICA LTDA.,(11) 4024-2880
KRISMA FERRAMENTARIA LTDA,-
ESFER,-
MTSZ FERRAMENTARIA E INJECAO PARA TERMOPLASTICOS,-
MOLD BRASIL FERRAMENTARIA LTDA,-
FERRAMENTARIA GASPEC,(11) 4421-8701
IMS ENGENHARIA & FERRAMENTARIA LTDA,-
ESTAMPARIA ITUPEVA,(11) 4591-7444
MOLDTOOL FERRAMENTARIA LTDA,(47) 3121-4400
BC FERRAMENTARIA,(61) 3701-7000
CIANI & DAMO PROJETOS E FERRAMENTARIA LTDA,-
USICOMP - FERRAMENTARIA E INDUSTRIA DE PECAS LTDA,(19) 3455-8600
BRASFER EQUIPAMENTOS INDUSTRIAIS,(47) 3437-4152
FERRAMENTARIA JN LTDA,(47) 3431-8900
PASSARELLA USINAGEM E FERRAMENTARIA LTDA,(19) 3272-8945
ASPRO PLASTIC INDUSTRIA E COMERCIO DE ARTIGOS PLASTICOS E FERRAMENTARIA LTDA,(15) 3335-1390
NORTE FERRAMENTARIA,(47) 3085-5830
THMV INJECAO PLASTICA E FERRAMENTARIA LTDA,(16) 3951-9110
FERRAMENTARIA FERRAVE LTDA,Aberto ⋅ Fecha às 17:00
MOLDES BRASIL,(49) 3522-2933
PLANIFER-FERRAMENTARIA E ESTAMPARIA LTDA,-
FERRAMENTARIA INJECAO GASPARETTE LTDA,-
MRB MACHINING,(41) 3246-1562
METALMASSA FERRAMENTARIA E INJECAO LTDA,(47) 3379-0817
ADF MAQUINAS E EQUIPAMENTOS,(47) 99780-3522
SINTERCAN FERRAMENTARIA LTDA.,(19) 3935-5000
LUCK FERRAMENTARIA,(19) 3936-5777
3R FERRAMENTARIA E USINAGEM,(47) 3436-2507
DIGIMOLD - FERRAMENTARIA DE PRECISAO LTDA,(11) 4035-5557
USIFESP - USINAGEM E FERRAMENTARIA SAO PAULO S.A,-
ALFATECH - FERRAMENTARIA DE PRECISAO LTDA,(11) 4033-5005
RK FERRAMENTARIA LTDA,(41) 3667-0988
GREEN MOLDE,-
FERRAMENTARIA FERMOLD LTDA,(47) 3466-7951
DJ MODELACAO E FERAMENTARIA S/C LTDA,-
MIDIA FERRAMENTARIA LTDA,(47) 3027-6940
RIBFER USINAGEM E FERRAMENTARIA LTDA,(19) 3936-3100
QUALITY FERRAMENTARIA,(47) 3417-4800
OLIVEIRA FERRAMENTARIA,(11) 3705-2821
BRAWAL FERRAMENTARIA DE PRECISAO LTDA.,(11) 2911-8030
